year,n_nodes,n_edges,density,avg_clustering,avg_path_length,modularity
2001,103,56,0.00533028745478774,0.0,0,0.957676958622138
2002,156,81,0.003349875930521092,0.0,0,0.8093435943866005
2003,246,131,0.0021735523477683758,0.0,0,0.9213539233070873
2004,347,184,0.0015325415202145558,0.0,0,0.9540800939667622
2005,424,227,0.0012656675141620947,0.0,0,0.9794398530762185
2006,681,379,0.0008184331001122916,0.0,0,0.9412756131998448
2007,762,426,0.0007346322182788912,0.0,0,0.9103660750771061
2008,996,564,0.0005691106133075014,0.0016733601070950466,0,0.9661429081180798
2009,1243,695,0.0004501860985123779,0.0,0,0.9874235004059339
2010,1433,793,0.00038644169554826965,0.00314026517794836,0,0.9872163731942457
2011,1680,920,0.00032615786040443573,0.0,0,0.9795260418687955
2012,2485,1408,0.0002280996769667927,0.0008316566063044935,0,0.9923935376009502
2013,2889,1641,0.00019668165330525856,0.0012768739663859083,0,0.987524136291058
2014,3309,1971,0.00018006294803333989,0.003183126936526755,0,0.9784431891381833
2015,4111,2373,0.00014044569758543484,0.0004951871286096535,0,0.7725229038373745
2016,5231,3005,0.00010983937864174196,0.0018974653079030827,0,0.9719361406492492
2017,7553,4627,8.111814925935816e-05,0.0009841564058431528,0,0.9902296470313751
2018,7716,4389,7.372884516337767e-05,0.0007819250043200277,0,0.9938457697444778
2019,9230,5391,6.328677785307911e-05,0.0013959496624718726,0,0.9917301453560345
2020,12472,7620,4.899114502412756e-05,0.0009247380799657902,0,0.9688198898106187
2021,14822,8878,4.0413905766734776e-05,0.0012833775618824868,0,0.9908344751192939
2022,15523,9212,3.823231473432488e-05,0.0019410503530841094,0,0.9815769990068784
2023,18184,10973,3.318718511189426e-05,0.0012432253012206946,0,0.9943431571331595
2024,22727,13933,2.6976122358192403e-05,0.0013488753099220208,0,0.98848844495946
