year,n_components,max_component_size,component_size_distribution,avg_component_size
2001,1,103,[异常修复：103],103
2002,1,156,[异常修复：156],156
2003,1,246,[异常修复：246],246
2004,1,347,[异常修复：347],347
2005,1,424,[异常修复：424],424
2006,1,681,[异常修复：681],681
2007,1,762,[异常修复：762],762
2008,1,996,[异常修复：996],996
2009,1,1243,[异常修复：1243],1243
2010,1,1433,[异常修复：1433],1433
2011,1,1680,[异常修复：1680],1680
2012,1,2485,[异常修复：2485],2485
2013,1,2889,[异常修复：2889],2889
2014,1,3309,[异常修复：3309],3309
2015,1,4111,[异常修复：4111],4111
2016,1,5231,[异常修复：5231],5231
2017,1,7553,[异常修复：7553],7553
2018,1,7716,[异常修复：7716],7716
2019,1,9230,[异常修复：9230],9230
2020,1,12472,[异常修复：12472],12472
2021,1,14822,[异常修复：14822],14822
2022,1,15523,[异常修复：15523],15523
2023,1,18184,[异常修复：18184],18184
2024,1,22727,[异常修复：22727],22727
