year,n_nodes,n_edges,density,avg_clustering,avg_path_length,modularity
2001,103,56,0.00533,0.0,0,0.957677
2002,156,81,0.00335,0.0,0,0.809344
2003,246,131,0.002174,0.0,0,0.921354
2004,347,184,0.001533,0.0,0,0.95408
2005,424,227,0.001266,0.0,0,0.97944
2006,681,379,0.000818,0.0,0,0.941276
2007,762,426,0.000735,0.0,0,0.910366
2008,996,564,0.000569,0.001673,0,0.966143
2009,1243,695,0.00045,0.0,0,0.987424
2010,1433,793,0.000386,0.00314,0,0.987216
2011,1680,920,0.000326,0.0,0,0.979526
2012,2485,1408,0.000228,0.000832,0,0.992394
2013,2889,1641,0.000197,0.001277,0,0.987524
2014,3309,1971,0.00018,0.003183,0,0.978443
2015,4111,2373,0.00014,0.000495,0,0.77253
2016,5231,3005,0.00011,0.001897,0,0.971881
2017,7553,4627,8.1e-05,0.000984,0,0.99023
2018,7716,4389,7.4e-05,0.000782,0,0.993846
2019,9230,5391,6.3e-05,0.001396,0,0.99173
2020,12472,7620,4.9e-05,0.000925,0,0.96882
2021,14822,8878,4e-05,0.001283,0,0.990834
2022,15523,9212,3.8e-05,0.001941,0,0.981578
2023,18184,10973,3.3e-05,0.001243,0,0.994338
2024,22727,13933,2.7e-05,0.001349,0,0.988472
