type,in_degree_mean,in_degree_std,in_degree_count,out_degree_mean,out_degree_std,out_degree_count,betweenness_mean,betweenness_std,betweenness_count,eigenvector_mean,eigenvector_std,eigenvector_count
个人,2.497472013157871e-06,4.3486429021920784e-06,10517,7.76726139446364e-06,6.808986557751345e-06,10517,1.110921112346955e-10,6.44904202975235e-09,10517,4.3374507791830044e-05,0.0003633125534988517,10517
"个人,企业",4.162431832413482e-06,4.404475702425956e-06,3441,4.8993457459465035e-06,5.860021426367812e-06,3441,0.0,0.0,3441,4.651420483135261e-218,0.0,3441
"个人,企业,其他",6.49075284078616e-06,4.327168560524107e-06,4,2.1635842802620534e-06,4.327168560524107e-06,4,0.0,0.0,4,0.0,0.0,4
"个人,企业,学校",2.8468214213974385e-06,4.093091688058388e-06,76,6.03526141336257e-06,4.473488575107894e-06,76,0.0,0.0,76,2.420186113892442e-286,0.0,76
"个人,企业,机关团体",4.327168560524107e-06,4.561236156909449e-06,10,4.327168560524107e-06,4.561236156909449e-06,10,0.0,0.0,10,0.0,0.0,10
"个人,企业,科研单位",1.923186026899603e-06,3.816203964068044e-06,9,6.73115109414861e-06,3.816203964068044e-06,9,0.0,0.0,9,5.4e-323,0.0,9
"个人,其他",4.554914274235902e-06,4.439581268921211e-06,19,4.0994228468123115e-06,4.439581268921212e-06,19,0.0,0.0,19,0.0,0.0,19
"个人,其他,企业",0.0,,1,8.654337121048214e-06,,1,0.0,,1,0.0,,1
"个人,其他,企业,学校",0.0,,1,8.654337121048214e-06,,1,0.0,,1,0.0,,1
"个人,学校",2.4993128754751306e-06,4.012279838056635e-06,232,6.49075284078616e-06,4.392242415966841e-06,232,0.0,0.0,232,4.349611351055461e-14,6.625130629665713e-13,232
"个人,学校,企业",2.6898615376230935e-06,4.032789232138307e-06,74,6.198376586696693e-06,4.41989564169433e-06,74,0.0,0.0,74,0.0,0.0,74
"个人,机关团体",5.138512665622377e-06,4.31843561810008e-06,32,3.7862724904585934e-06,4.361925492857448e-06,32,0.0,0.0,32,1.82e-321,0.0,32
"个人,机关团体,企业",5.192602272628928e-06,4.469080472304583e-06,10,3.4617348484192856e-06,4.469080472304583e-06,10,0.0,0.0,10,0.0,0.0,10
"个人,科研单位",1.923186026899603e-06,3.648988925527559e-06,36,7.211947600873512e-06,3.8703372205727255e-06,36,0.0,0.0,36,0.0,0.0,36
"个人,科研单位,企业",5.192602272628928e-06,4.7401756614524245e-06,5,3.4617348484192856e-06,4.7401756614524245e-06,5,0.0,0.0,5,2.5e-323,0.0,5
"个人,科研单位,学校",0.0,,1,8.654337121048214e-06,,1,0.0,,1,0.0,,1
企业,6.381292928094884e-06,7.861766503402546e-06,85567,4.767385026210205e-06,2.377940128827611e-05,85567,6.660254110975719e-10,6.387733487565936e-08,85567,5.263606017236554e-05,0.0034131718111522617,85567
"企业,个人",4.5754136411476456e-06,4.650958699441447e-06,4044,4.598954122930913e-06,5.711669232312496e-06,4044,5.350202100300823e-12,2.453171153245127e-10,4044,7.117551751962394e-198,0.0,4044
"企业,个人,其他",6.923469696838571e-06,3.870337220572726e-06,5,1.7308674242096428e-06,3.870337220572726e-06,5,0.0,0.0,5,0.0,0.0,5
"企业,个人,其他,学校",8.654337121048214e-06,,1,0.0,,1,0.0,,1,0.0,,1
"企业,个人,学校",3.502945977567134e-06,4.4031541036043145e-06,126,5.288761573973909e-06,4.235814495547953e-06,126,0.0,0.0,126,1.4597947988557587e-286,0.0,126
"企业,个人,机关团体",5.769558080698809e-06,4.469080472304583e-06,6,2.8847790403494046e-06,4.469080472304583e-06,6,0.0,0.0,6,0.0,0.0,6
"企业,个人,科研单位",6.923469696838571e-06,5.473483388291338e-06,10,2.596301136314464e-06,4.180441990321404e-06,10,0.0,0.0,10,1.5e-323,0.0,10
"企业,其他",5.267857378029347e-06,4.246825953194908e-06,92,3.3864797430188664e-06,4.246825953194908e-06,92,0.0,0.0,92,9.43453e-319,0.0,92
"企业,其他,个人",4.327168560524107e-06,6.1195404649676545e-06,2,4.327168560524107e-06,6.1195404649676545e-06,2,0.0,0.0,2,0.0,0.0,2
"企业,其他,机关团体",4.327168560524107e-06,6.1195404649676545e-06,2,4.327168560524107e-06,6.1195404649676545e-06,2,0.0,0.0,2,0.0,0.0,2
"企业,其他,科研单位",5.769558080698809e-06,4.996583866494957e-06,3,2.8847790403494046e-06,4.996583866494957e-06,3,0.0,0.0,3,0.0,0.0,3
"企业,学校",3.898233250030206e-06,4.571864899731987e-06,4005,6.210378248662314e-06,9.74193598248548e-06,4005,4.105749099412874e-11,1.0134900051821947e-09,4005,1.5142108928921452e-06,5.5064879493273775e-05,4005
"企业,学校,个人",2.393752820715463e-06,3.891970483669746e-06,94,6.444719132695478e-06,4.00052366277202e-06,94,0.0,0.0,94,2.935119329614238e-286,0.0,94
"企业,学校,个人,其他",8.654337121048214e-06,,1,0.0,,1,0.0,,1,0.0,,1
"企业,学校,其他",0.0,,1,8.654337121048214e-06,,1,0.0,,1,0.0,,1
"企业,学校,机关团体",0.0,0.0,4,8.654337121048214e-06,0.0,4,0.0,0.0,4,0.0,0.0,4
"企业,学校,科研单位",1.7308674242096428e-06,3.870337220572726e-06,5,1.3846939393677142e-05,1.1611011661718179e-05,5,0.0,0.0,5,0.0,0.0,5
"企业,机关团体",5.967230306161724e-06,4.088018057245342e-06,467,4.262307361544089e-06,2.871641143582549e-05,467,0.0,0.0,467,2.2973485137317537e-11,4.300397279765112e-10,467
