"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"无锡桑尼安科技有限公司","福州环亚众志计算机有限公司","G06F19/00","福建","350000 福建省福州市台江区鳌峰路184-186号桂园怡景二期2号楼8层02单元","福建","35"
"西南交通大学","芽米科技(广州)有限公司","H04L29/06","四川","510530 广东省广州市黄埔区科丰路85号801房","四川","51"
"重庆理工大学","芽米科技(广州)有限公司","H04L29/06; G06K9/62; G06N3/04; G06N3/08","重庆","510530 广东省广州市黄埔区科丰路85号801房","重庆","51"
"鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司","嘉善县魏塘资产管理有限公司","H04L29/06; H04L29/12","广东","浙江省嘉兴市嘉善县魏塘街道环北西路355号二楼西侧西二间","广东","浙江"
"安庆师范大学","河北凯通信息技术服务有限公司","G06T7/40; G06T7/90","安徽","073000 河北省保定市定州市商业街与兴定路交叉口北行200米路西(爵仕山小区3幢19层1910号)","安徽","07"
"中国建设银行股份有限公司","建信金融科技有限责任公司","H04L12/24; H04L29/06; H04L29/08","北京","200120 上海市浦东新区自由贸易试验区银城路99号12层、15层","北京","20"
"成都布林特信息技术有限公司","成都信息工程大学","G06F16/25","四川","610225 四川省成都市西南航空港经济开发区学府路一段24号","四川","61"
"重庆邮电大学","北京神州数码云科信息技术有限公司; 神州鲲泰(厦门)信息技术有限公司","H04L9/08; H04L9/32","北京","100000 北京市海淀区上地九街9号3层301号","北京","10"
"谷歌有限责任公司","瑞典爱立信有限公司","G06F3/00","美国","瑞典斯德哥尔摩","美国","瑞典"
"泰州三凯工程技术有限公司","重庆工程职业技术学院","G06T7/62; G06T5/00; A62B1/00","重庆","402260 重庆市江津区南北大道1号重庆工程职业技术学院","重庆","40"
"株式会社日立制作所","瑞萨电子株式会社","G06F3/14; G09G3/36; G02F1/133; G06F3/048; G09G3/20; G09G5/34; G06F3/0485","日本","日本神奈川","日本","日本"
"广东工业大学","合肥名龙电子科技有限公司","G06Q20/40; G06F21/55; H04L9/40","广东","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","广东","23"
"阿尔特拉公司","英特尔公司","G06F7/52; H03K19/173; H03K19/177; G06F17/50","美国","美国加利福尼亚州","美国","美国"
"辛纳普蒂克斯公司","株式会社和冠","G06F3/0484; G06F3/0488","美国","日本埼玉县","美国","日本"
"SK普兰尼特有限公司","SK电信有限公司","G06Q30/02; H02J7/00","韩国","韩国首尔","韩国","韩国"
"西安理工大学","广州市卓航信息科技有限公司","G06V10/764; G06V10/80; G06V10/77; G06V10/50; G06V10/26","广东","510000 广东省广州市番禺区南村镇兴业大道东422号2062室","广东","51"
"西安交通大学","税友软件集团股份有限公司","G06F17/30; G06Q40/00","陕西","310053 浙江省杭州市滨江区南环路3738号税友大厦","陕西","31"
"烽火通信科技股份有限公司","烽火通信科技股份有限公司; 武汉长江计算科技有限公司","H04L67/56","湖北","430000 湖北省武汉市东湖高新技术开发区高新四路6号","湖北","43"
"艾利森电话股份有限公司","因芬尼昂技术股份公司","G06F17/50; H01L21/82","瑞典",NA,"瑞典","Unknown"
"北京神州数码云科信息技术有限公司","北京神州数码云科信息技术有限公司; 神州鲲泰(厦门)信息技术有限公司","H04L29/06; H04L12/14","北京","100085 北京市海淀区上地九街9号3层301号","北京","10"
"郑州云海信息技术有限公司","浪潮云信息技术有限公司","G06F8/30; G06F8/41; G06F8/70","河南","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","河南","25"
"东北林业大学","哈尔滨理工大学","G06F3/039","黑龙江","150080 黑龙江省哈尔滨市南岗区学府路52号","黑龙","15"
"广东电网有限责任公司电力调度控制中心","南方电网电力科技股份有限公司","G06Q10/04; G06Q50/06","广东","510000 广东省广州市越秀区西华路捶帽新街1-3号华业大厦附楼501-503室(不可作厂房使用)","广东","51"
"索尼株式会社","汤姆逊许可公司","G06F3/033; G06F3/03; G06F3/00; G06F3/01; G06F3/02; G06F3/041; G06F3/042","日本","法国伊西莱穆利诺","日本","法国"
"惠州TCL移动通信有限公司","湖北华中电力科技开发有限责任公司","G06F11/22; G06F3/16","广东","430070 湖北省武汉市洪山区珞瑜路546号","广东","43"
"上海博泰悦臻电子设备制造有限公司","上海汽车集团股份有限公司","G06F3/01; G06F3/048; G06F3/0482","上海","201203 上海市张江高科技园区松涛路563号1号楼509室","上海","20"
"浪潮电子信息产业股份有限公司","浪潮云信息技术有限公司","G06F9/445","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","山东","25"
"珠海市君天电子科技有限公司","珠海豹趣科技有限公司","H04L12/24","广东","519000 广东省珠海市横琴新区宝华路6号105室-53811(集中办公区)","广东","51"
"西安电子科技大学","OPPO广东移动通信有限公司","H04L9/08; H04W8/00; H04W12/02; H04W12/03; H04W12/0431; H04W12/06; H04W12/50; H04W12/122","陕西","523860 广东省东莞市长安镇乌沙海滨路18号","陕西","52"
"北京百度网讯科技有限公司","深圳市凌晨知识产权运营有限公司","G06F30/18; G06F30/27; G06F113/02; G06F119/20","北京","518000 广东省深圳市龙华区龙华街道龙园社区龙发路428花园街B24花园街B23B","北京","51"
"富泰华工业(深圳)有限公司; 鸿海精密工业股份有限公司","嘉善县魏塘资产管理有限公司","G06F3/02; G06F1/16","广东","浙江省嘉兴市嘉善县魏塘街道环北西路355号二楼西侧西二间","广东","浙江"
"浙江省北大信息技术高等研究院; 杭州未名信科科技有限公司","杭州未名信科科技有限公司; 浙江省北大信息技术高等研究院","G06K9/46; G06K9/62; G06N3/04","浙江","311200 浙江省杭州市萧山区宁围街道钱江世纪公园C区1幢101室","浙江","31"
"诺基亚通信公司","起源资产集团有限责任公司","H04L29/06; G06F17/24","芬兰","美国纽约州","芬兰","美国"
"展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司","芯鑫融资租赁有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司","H04L5/02; H04L27/26","上海","200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室","上海","20"
"杭州电子科技大学","合肥智慧龙机械设计有限公司","G06Q10/04; G06Q50/06; G06F17/18","浙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","浙江","23"
"惠普开发有限公司","瑞典爱立信有限公司","G06F9/06; G06F9/22","瑞典","瑞典斯德哥尔摩","瑞典","瑞典"
"杭州电子科技大学","杭州电子科技大学上虞科学与工程研究院有限公司; 杭州电子科技大学","G06F18/23; G06F18/214; G06N20/00; G06N3/0464; G06N3/098","浙江","312300 浙江省绍兴市上虞区曹娥街道五星西路外五甲村上虞产教融合创新园1期复兴西路77号","浙江","31"
"安庆师范大学","合肥名龙电子科技有限公司","G06F13/16; G06F13/40; G06F1/3287","安徽","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","安徽","23"
