"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"英特尔公司","现代自动车株式会社; 起亚株式会社","G06K9/00; H04N5/232; G06V10/26; G06V10/50; G06V10/56; G06V10/764; G06V10/771","美国","韩国首尔","美国","韩国"
"苏州格目软件技术有限公司","深圳供电局有限公司","H04L29/06","广东","518000 广东省深圳市罗湖区深南东路4020号电力调度通信大楼","广东","51"
"克拉斯特有限责任公司; 艾利森电话股份有限公司","奥普蒂斯无线技术有限责任公司; 克拉斯特有限责任公司","H04L7/02; H04L1/20; H04L1/24; H04L7/08; H04B7/26; H04L7/04; H04L27/00","瑞典","美国德克萨斯州; 美国特拉华州","瑞典","美国"
"华为技术有限公司","OPPO广东移动通信有限公司","H04L5/00; H04W28/24","广东","523860 广东省东莞市长安镇乌沙海滨路18号","广东","52"
"重庆邮电大学; 龙图腾网科技(合肥)股份有限公司","龙图腾网科技(合肥)股份有限公司; 合肥九州龙腾科技成果转化有限公司","G06K9/00","重庆","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼; 230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203","重庆","23"
"中国计量大学","合肥名龙电子科技有限公司","G05B13/04","浙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","浙江","23"
"杭州翼兔网络科技有限公司","山东汇佳软件科技股份有限公司","H04L9/08; H04L9/28; H04L29/06; G06F21/60; G06F21/62","山东","257091 山东省东营市东营区南一路228号软件园B607-609","山东","25"
"三峡大学","深圳万知达技术转移中心有限公司","G06F30/20; G06Q50/06; H02J3/38","湖北","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1003","湖北","51"
"三峡大学","深圳泓越信息科技有限公司","G06F17/50; G06Q50/06; G06Q50/20","湖北","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","湖北","51"
"温州大学","广州大学","G06F19/18","广东","510000 广东省广州市番禺区广州大学城外环西路230号","广东","51"
"无锡科技职业学院","龙图腾网科技(合肥)股份有限公司","G06F1/18; G06F1/20","江苏","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","江苏","23"
"泰州三凯工程技术有限公司","六安同辉智能科技有限公司","G06T7/62; G06T5/00","安徽","237000 安徽省六安市六安经济技术开发区新加坡御苑12号楼105室","安徽","23"
"苏州天趣信息科技有限公司","深圳前海大数金融服务有限公司","G06F21/31; G06F21/62","广东","518100 广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)","广东","51"
"四川企易标信息科技有限公司","北京网安捷通科技发展有限公司","G06F1/18; F16F15/067; B60B33/00","四川","100032 北京市西城区大安澜营胡同31号5号楼415室","四川","10"
"盛趣信息技术(上海)有限公司","盛乐信息技术(上海)有限公司","G06F9/46; G06F3/033; G06F3/0338","上海","上海市浦东新区郭守敬路356号  邮政编码 : 201203","上海","上海"
"微软公司","微软技术许可有限责任公司","G10L15/14; G10L15/10; G06K9/62; G10L15/18","美国","美国华盛顿州","美国","美国"
"苏州天趣信息科技有限公司","河南大学","G06F3/0488","河南","475001 河南省开封市龙亭区明伦街85号","河南","47"
"阿尔卡特朗讯公司","高通股份有限公司","H04L12/28; H04L12/24; H04L12/18; H04L29/06; H04L12/46","法国","美国加利福尼亚州","法国","美国"
"华中师范大学","合肥名龙电子科技有限公司","H04L9/32; H04L9/08; H04L9/40; H04L67/12; G06Q50/06","湖北","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","湖北","23"
"努比亚技术有限公司","中食安泓(广东)健康产业有限公司","G06F3/01; H04M1/72454; G06F1/16","广东","510000 广东省广州市天河区黄埔大道西163号2501室(部位自编I)(仅限办公)(不可作厂房使用)","广东","51"
"华北理工大学","天津城建大学","G06F8/654; G06F9/448; G06F11/07","天津","300380 天津市西青区津静路26号","天津","30"
"国际商业机器公司","谷歌公司","H04L12/28; G06F12/00; G06F13/00; H04N7/173; H04N21/2225; H04N21/262","美国","美国加利福尼亚州","美国","美国"
"松下知识产权经营株式会社","松下电器(美国)知识产权公司","H04L12/28","美国","美国加利福尼亚州","美国","美国"
"三星电子株式会社","诺基亚技术有限公司","H04L1/00","韩国","芬兰埃斯波","韩国","芬兰"
"华为技术有限公司","北京京东尚科信息技术有限公司","G06F17/30","广东","100101 北京市朝阳区北辰西路8号北辰世纪中心A座10层","广东","10"
"樊馨","江苏永鼎通信有限公司","G06Q30/06; G06Q30/02; G06Q10/08","江苏","215212 江苏省苏州市吴江区黎里镇越秀路888号","江苏","21"
"湖南科技大学","佛山科学技术学院","G06F1/24; H03K17/22","湖南","528000 广东省佛山市江湾一路18号","湖南","52"
"重庆交通大学","西南交通大学","H04L29/06; H04L12/26; H04L12/24","四川","610031 四川省成都市二环路北一段","四川","61"
"重庆邮电大学","山东高速信联科技股份有限公司","G06F18/213; G06N3/08; G06N3/0464; G08G1/065","山东","250000 山东省济南市高新区汉峪金谷A7-5信联科技大厦","山东","25"
"中国科学院计算技术研究所","北京中科睿芯科技集团有限公司","G06F11/267","北京","100095 北京市海淀区温泉镇创客小镇社区配套商业楼15#楼一层135室","北京","10"
"杭州电子科技大学","龙图腾网科技(合肥)股份有限公司","G06F9/48","浙江","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","浙江","23"
"捷开通讯(深圳)有限公司","TCL移动通信科技(宁波)有限公司","H04L12/24; H04L12/26; H04L29/06","浙江","315000 浙江省宁波市高新区杨帆路999弄5号10楼","浙江","31"
"江苏科技大学","常熟市知识产权运营中心有限公司","G06F17/50; B24B3/00","江苏","215500 江苏省苏州市常熟市草荡路13号","江苏","21"
