"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"平安普惠企业管理有限公司","珠海名家色彩创意设计有限公司","广东","519000 广东省珠海市横琴新区环岛东路1889号创意谷19栋511室","广东","51"
"上海契云科技有限公司","上海契智科技有限公司","上海","201600 上海市松江区九亭镇朱金公路675号6幢1楼101室","上海","20"
"新昌县云意文化有限公司","上海道麟工业科技有限公司","浙江","201108 上海市闵行区颛兴东路1058弄11号1楼、2楼","浙江","20"
"深圳市俊达通办公智能科技有限公司","山东中科好靓科技有限公司","山东","276000 山东省临沂市经济技术开发区合肥路与沃尔沃路交汇西200米沂蒙云谷孵化器3层","山东","27"
"万宇龙","上海一三二二智能科技有限公司","江西","201900 上海市宝山区地杰路58号1幢1层D区774室","江西","20"
"成都仟艺家居用品有限公司","成都仟艺家信息科技有限公司","四川","610000 四川省成都市高新区天晖中街56号1栋14层1405号","四川","61"
"上海斐讯数据通信技术有限公司; 四川斐讯全智信息技术有限公司","台州市吉吉知识产权运营有限公司; 上海斐讯数据通信技术有限公司","四川","318015 浙江省台州市椒江区洪家街道东环大道2388号农港城A区2-3167号; 201616 上海市松江区思贤路3666号","四川","31"
"无锡赛思汇智科技有限公司","苏州美信互联信息技术有限公司","江苏","215000 江苏省苏州市高新区科技城科灵路78号06号楼5楼","江苏","21"
"沈阳航空航天大学","湖北省智汇创想科技有限公司","湖北","435500 湖北省黄冈市黄梅县黄梅镇黄梅大道东方阳光城6栋1702室(自主申报)","湖北","43"
"上海南洋云海数据科技有限公司","上海南洋万邦软件技术有限公司","上海","200233 上海市长宁区金钟路658弄17号乙三层3353室","上海","20"
"河海大学; 南京河海科技有限公司; 国家电网公司; 江苏省电力公司南京供电公司; 中国电力科学研究院; 江苏省电力公司; 国网重庆市电力公司","河海大学; 国家电网公司; 江苏省电力公司南京供电公司; 中国电力科学研究院; 江苏省电力公司; 国网重庆市电力公司","江苏","211100 江苏省南京市江宁区佛城西路8号","江苏","21"
"平安普惠企业管理有限公司","工业和信息化部国际经济技术合作中心","北京","100089 北京市海淀区万寿路27号","北京","10"
"中兴通讯股份有限公司","杨义成","广东","132602 吉林省吉林市舒兰市吉舒街丰庆委十四组","广东","13"
"钟祥博谦信息科技有限公司","桐乡市诺创信息科技有限公司","湖北","314500 浙江省嘉兴市桐乡市乌镇镇子夜路77号3楼333室","湖北","31"
"林暄智陈庆鸿; 陈国星","华虹精密股份有限公司","台湾",NA,"台湾","Unknown"
"易特智行科技(广州)有限公司; 易特智行科技(张家口)有限公司","易特智行科技(张家口)有限公司; 易特氢智科技(广州)有限公司","河北","075001 河北省张家口市经济开发区南山经济开发区经一路东侧3楼8352房; 510000 广东省广州市海珠区琶洲大道178号1201室(部位 : 自编1202)","河北","07"
"朵漫(佛山)品牌管理传媒有限公司; 张立伟; 于乐辰","张立伟; 于乐辰; 西安腾势坤元科技发展有限公司","广东","710100 陕西省西安市长安区锦业二路90号9栋2单元3层302号; 710000 陕西省西安市碑林区永宁路大话南门5号楼一单元11803室","广东","71"
"北京中电飞华通信股份有限公司; 国家电网有限公司; 北京国电通网络技术有限公司","北京中电普华信息技术有限公司; 国家电网有限公司; 北京中电飞华通信股份有限公司; 北京国电通网络技术有限公司; 国家电网公司","北京","100192 北京市海淀区清河小营东路15号科研楼710室; 100070 北京市丰台区航丰路1号时代财富天地大厦28层","北京","10"
"湖北用芯物联科技有限公司","深圳市融智兴科技有限公司","湖北","518000 广东省深圳市龙华新区观澜凹背社区大富工业区9号金豪创业园F栋二.三楼","湖北","51"
"无锡曼莱特科技合伙企业(有限合伙); 慕福奇","上海北通导控科技发展有限公司; 无锡曼莱特科技合伙企业(有限合伙)","重庆","200000 上海市杨浦区江浦路1380号332幢; 214000 江苏省无锡市经济开发区高浪东路999号-8-D1-902-21","重庆","20"
"广州飞宇智能科技有限公司","广州伊隆科技有限公司","广东","510725 广东省广州市黄埔区黄埔东路3889号1308铺-G2","广东","51"
"河海大学常州校区; 上海极臻三维设计有限公司","上海极臻三维设计有限公司; 上海汲臻智能科技有限公司","江苏","201600 上海市松江区莘砖公路668号双子楼B103-1; 201612 上海市松江区新桥镇莘砖公路668号2304室-1","江苏","20"
"太平洋水处理工程有限公司","贾伯林","江苏","226000 江苏省南通市崇川区新桃园3幢602室","江苏","22"
"刘昌宏","重庆中烟工业有限责任公司","重庆","400060 重庆市南岸区南坪东路2号","重庆","40"
"郭明松","上海松尚网络科技有限公司","上海","201207 上海市浦东新区张江高科技园区海趣路218号1206室","上海","20"
"千兆科技(深圳)有限公司","深圳市迅雷网文化有限公司","广东","518000 广东省深圳市南山区高新园北环大道9018号大族创新大厦A区4层401","广东","51"
"翼胜管理顾问有限公司; TCL通讯科技控股有限公司; 中国香港应用科技研究院有限公司","TCL通讯科技控股有限公司; 翼胜管理顾问有限公司","香港","中国香港九龙尖沙咀广东道33号中港城第3座19楼1910-12A室; 英属维尔京群岛托托拉岛罗德镇威克汉姆1号礁OMC室","香港","中国"
"广州安望信息科技有限公司","深圳软通动力信息技术有限公司","广东","518019 广东省深圳市罗湖区东晓街道布吉路1028号中设广场A栋2-24层","广东","51"
"曹敏清","南京思伯特企业管理咨询有限公司","广东","211100 江苏省南京市江宁区天元东路58号致远大厦6楼629室(江宁高新园)","广东","21"
"武汉科技大学; 湖州信倍连网络科技有限公司","湖州信倍连网络科技有限公司; 江苏润云数字科技有限公司","湖北","313000 浙江省湖州市吴兴区高新区七幸路656号1幢1-C; 212000 江苏省镇江市润州区东方伟业广场2号楼310室","湖北","31"
"塔普思科技公司","珠海兴芯存储科技有限公司","广东","广东省珠海市高新区金唐路1号港湾1号科创园湾9栋B区四层403室","广东","广东"
"江苏彰旗物联网科技有限公司","江苏铂原信息技术有限公司","江苏","214434 江苏省无锡市江阴市澄江中路159号A座9楼整层","江苏","21"
"杭州十尾网络科技有限公司","乐荐健康科技集团有限公司","浙江","100020 北京市朝阳区光华路8号17幢三层A308房间","浙江","10"
"深圳矽感科技有限公司; 武汉矽感科技有限公司","武汉矽感科技有限公司; 武汉矽感数码有限公司","湖北","430023 湖北省武汉市东西湖区三店农场二大队","湖北","43"
"METROPCS无线公司","T移动美国公司","美国","美国华盛顿州","美国","美国"
"王介生","北京凯平艾森信息技术有限公司","北京",NA,"北京","Unknown"
"李莹莹; 尤红建","北京市遥感信息研究所","北京","100011 北京市朝阳区外馆斜街6号院","北京","10"
"付国海","合肥荣事达电子电器集团有限公司","安徽","230000 安徽省合肥市长丰双凤经济开发区","安徽","23"
"精硕科技(北京)股份有限公司; 恩亿科(北京)数据科技有限公司","恩亿科(北京)数据科技有限公司; 上海明略人工智能(集团)有限公司","北京","100000 北京市海淀区西小口路66号东升科技园·北领地D-1楼1层136A(东升地区); 200030 上海市徐汇区云锦路701号29、30、31、32层","北京","10"
"北京优纳科技有限公司","武汉优云智能医疗科技有限公司","北京","430000 湖北省武汉市东湖新技术开发区高新大道818号武汉高科医疗器械园B区22号楼3层1号、2号、3号301和2层2号","北京","43"
"北京科东电力控制系统有限责任公司; 国网辽宁省电力有限公司鞍山供电公司; 国网冀北电力有限公司电力科学研究院","国家电网公司; 北京科东电力控制系统有限责任公司; 国网辽宁省电力有限公司鞍山供电公司; 国网冀北电力有限公司电力科学研究院","北京","100031 北京市西城区西长安街86号","北京","10"
"杭州市第一人民医院","宁波君瑞康复技术有限公司","浙江","315299 浙江省宁波市招宝山街道威海路388号","浙江","31"
"韶关西氪信息技术有限公司","南宁市尚汇电子科技有限公司","广东","530000 广西壮族自治区南宁市中国(广西)自由贸易试验区南宁片区坛兴路27号魅力之城11号楼二十层2006号","广东","53"
"诸暨掌云网络科技有限公司","常州赛华汉诚电子有限公司","浙江","213165 江苏省常州市武进区礼嘉镇坂上坂新路8号","浙江","21"
"燕山大学","深蓝信息技术(唐山)股份有限公司","河北","064400 河北省唐山市迁安市荣茂大厦6楼","河北","06"
"韩铮; 泽普互动(北京)科技有限公司; 泽普互动(天津)科技有限公司","泽普互动(北京)科技有限公司; 泽普互动(天津)科技有限公司; 北京顺源开华科技有限公司","天津","100101 北京市朝阳区慧忠里103号洛克时代中心B1010; 300300 天津市天津空港经济区保航路1号航空产业支持中心645JJ72房间; 100000 北京市海淀区东北旺西路8号院23号楼2层206-2号","天津","10"
"重庆邮电大学","未来(重庆)科技有限公司","重庆","400000 重庆市长寿区渡舟街道果园村6组","重庆","40"
"浪潮通用软件有限公司; 山东浪潮通软信息科技有限公司","浪潮城市服务科技有限公司; 浪潮通用软件有限公司","山东","250100 山东省济南市高新区浪潮路1036号S01楼8层; 250000 山东省济南市浪潮路1036号","山东","25"
"深圳市英旺微电子有限公司","陆志春","广东","广东省深圳市南山区深南大道10128号南山软件园大厦西塔楼2003、2004室","广东","广东"
"广东小明空间网络科技有限公司","湖北基业长青新材料有限公司","湖北","441534 湖北省襄阳市南漳县九集镇经济开发区白马山村","湖北","44"
"东莞温思帝寝具科技有限公司; 宁波雅露斯智能家居有限公司","宁波雅露斯智能家居有限公司; 苏州雅露斯智能家居有限公司","广东","315800 浙江省宁波市北仑区梅山盐场1号办公楼十八号378室; 215000 江苏省苏州市吴江区盛泽镇西二环路1188号10号楼109室","广东","31"
"章文春","上海百出信息科技有限公司","浙江","200000 上海市崇明区长兴镇江南大道1333弄11号楼(临港长兴科技园)","浙江","20"
"安徽师范大学","成都尧它大数据有限公司","安徽","610000 四川省成都市金牛高新技术产业园区天龙大道1333号6栋3层7号","安徽","61"
"北京逸智联科技有限公司; 韩少卿","武汉利楚商务服务有限公司; 北京逸智联科技有限公司","湖北","430080 湖北省武汉市青山区和平大道1540号钰龙时代中心第17-26层2501-2512室; 102488 北京市房山区良乡凯旋大街建设路18号-D1948","湖北","43"
"英特尔德国有限责任公司; 英特尔公司","英特尔公司; 苹果公司","德国","美国加利福尼亚州","德国","美国"
"北京航空航天大学","南通图加智能科技有限公司","北京","226000 江苏省南通市开发区广州路42号452室","北京","22"
