"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"华建机器翻译有限公司; 深圳科智语言信息处理有限公司北京分公司; 华建电子有限责任公司","北京华建长河科技有限公司; 华建电子有限责任公司; 华建机器翻译有限公司","北京","北京市海淀区学院路30号科群大厦西楼207室  邮编 :  100083; 北京市海淀区紫竹院路116号嘉豪国际中心B座6层  邮编 :  100089","北京","北京"
"特尔科迪亚技术股份有限公司; 研究投资网络有限公司; 志奥获斯股份有限公司","志奥获斯股份有限公司; 乐天株式会社; 研究投资网络有限公司","美国","日本国东京都品川区东品川四丁目12番3号140-0002; 美国加利福尼亚州","美国","日本"
"西门子公司","费罗马托姆ANP有限责任公司","德国","德国埃朗根","德国","德国"
"北京哈德威四方保护与控制设备有限公司; 北京四方同创保护与控制设备有限公司; 北京四方继保自动化股份有限公司","北京四方同创保护与控制设备有限公司; 北京四方继保自动化股份有限公司; 国网浙江省电力公司科学研究院","北京","100085 北京市海淀区上地信息产业基地四街九号","北京","10"
"北京哈德威四方保护与控制设备有限公司; 北京四方同创保护与控制设备有限公司; 北京四方继保自动化股份有限公司","北京四方同创保护与控制设备有限公司; 北京四方继保自动化股份有限公司; 北京四方继保工程技术有限公司","北京","100085 北京市海淀区上地信息产业基地四街9号","北京","10"
"硅图像有限公司株式会社东芝; 跨线桥有限责任公司; 株式会社东芝; MIPS技术公司","MIPS技术公司株式会社东芝; ARM海外金融有限公司; 株式会社东芝; 跨线桥有限责任公司","美国","英国剑桥; 美国新泽西","美国","英国"
"株式会社东芝; 硅图像有限公司; MIPS技术公司; 跨线桥有限责任公司","株式会社东芝; MIPS技术公司; 跨线桥有限责任公司; ARM海外金融有限公司","日本","日本东京","日本","日本"
"硅图像有限公司; MIPS技术公司; 株式会社东芝; 跨线桥有限责任公司","MIPS技术公司; 跨线桥有限责任公司; 株式会社东芝; ARM海外金融有限公司","美国","美国新泽西; 英国剑桥","美国","美国"
"瑞士电信公司; 瑞士电信(瑞士)股份公司; 瑞士电信流动电话公司","瑞士电信流动电话公司; 瑞士电信公司; 瑞士电信固网公司","瑞士","瑞士伯恩; 瑞士伯尔尼","瑞士","瑞士"
"杭州富通集团有限公司; 杭州富通通信技术股份有限公司; 住电光纤光缆(深圳)有限公司","杭州富通昭和光通信股份有限公司; 住电光纤光缆(深圳)有限公司; 杭州富通通信技术股份有限公司","浙江","518057 广东省深圳市南山区高新科技北区住友光纤园; 311422 浙江省杭州市富阳市银湖开发区","浙江","51"
"西北工业大学; 湖州奥利金高性能计算技术有限公司","湖州奥利金高性能计算机技术有限公司; 杭州奥利金并行计算技术有限公司","浙江","浙江省杭州市西湖区万塘路30号高新东方科技园14幢310  邮编 :  310012","浙江","浙江"
"桑纳拉斯麦脱信托有限公司; 德国捷德有限公司; 斯麦脱信托系统有限公司","斯麦脱信托系统有限公司; 捷佳德移动安全有限公司; 德国捷德有限公司","芬兰","德国慕尼黑","芬兰","德国"
"王凌霄; 科胜讯系统有限责任公司; 克雷格·巴兰克张荣峰; 扎尔林克半导体V.N.股份有限公司; 莱克斯坦塞米有限公司","扎尔林克半导体V.N.股份有限公司; 西纳铁克斯股份有限公司; 科胜讯系统公司","美国","美国加利福尼亚州","美国","美国"
"大宇电子株式会社; 株式会社大宇电子","株式会社大宇电子; 枫叶视野技术公司","韩国","加拿大安大略","韩国","加拿"
"株式会社大宇电子; 大宇电子株式会社","枫叶视野技术公司; 株式会社大宇电子","韩国","加拿大安大略","韩国","加拿"
"立生半导体股份有限公司; 易亨电子股份有限公司","易亨电子股份有限公司; 达尔科技股份有限公司","台湾","中国台湾省台北县","台湾","中国"
"泛泰·科力特株式会社; 泛泰财产管理公司; 海尼克斯半导体公司","株式会社泛泰; 泛泰株式会社; 居里泰尔公司","韩国","韩国首尔","韩国","韩国"
"中国普天信息产业集团公司; 普天信息技术研究院有限公司; 中国普天信息产业股份有限公司","普天信息技术研究院; 中国普天信息产业股份有限公司; 普天信息技术研究院有限公司","北京","100080 北京市海淀区中关村科技园区上地二街2号; 100080 北京市海淀区海淀北二街6号","北京","10"
"旭丽股份有限公司; 光宝科技股份有限公司","光宝科技股份有限公司; 宇慕科技有限公司","台湾","美国特拉华州","台湾","美国"
"国际竞争力股份有限公司; 宇辰光电股份有限公司; 突破光电股份有限公司","突破光电股份有限公司; 宇辰光电股份有限公司; 纬创资通股份有限公司","英国","中国台湾桃园县中坜市南园路2号","英国","中国"
"深圳市中兴通讯股份有限公司上海第二研究所; 中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 海门市科技发展总公司","广东","226144 江苏省南通市海门市北京路600号(行政中心0212室)","广东","22"
"深圳市中兴通讯股份有限公司上海第二研究所; 中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 北京电力经济技术研究院; 国网北京市电力公司中国技术交易所有限公司","广东","100055 北京市西城区广安门车站西街15号","广东","10"
"深圳市中兴通讯股份有限公司上海第二研究所; 中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 国网北京市电力公司; 北京华商电力科技中心中国技术交易所有限公司","广东","100031 北京市西城区前门西大街41号","广东","10"
"深圳市中兴通讯股份有限公司上海第二研究所; 中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 国网北京市电力公司; 北京博瑞翔伦科技发展有限公司中国技术交易所有限公司","广东","100031 北京市西城区前门西大街41号","广东","10"
"崔巍; 上海集通数码科技有限责任公司","上海集通数码科技有限责任公司; 上海高通半导体有限公司","上海","200001 上海市黄浦区北京东路666号B609(3)室","上海","20"
"威盛电子股份有限公司; 威瀚科技股份有限公司","威瀚科技股份有限公司; 威盛电子股份有限公司","台湾","中国台湾台北县","台湾","中国"
