"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"广州零端科技有限公司; 陈剑辉","陈剑辉; 中山大学附属第六医院; 广州零端科技有限公司","广东","510000 广东省广州市番禺区大石街道群贤路富丽家园凯跃大厦G栋202; 510655 广东省广州市天河区员村二横路26号; 510290 广东省广州市海珠区后滘西大街139号自编B1栋109-7","广东","51"
"广州薇美姿实业有限公司","广州舒客实业有限公司","广东","510000 广东省广州市黄埔区中新广州知识城亿创街1号406房之80(仅限办公)","广东","51"
"图兹公司","斯特兹有限责任公司","美国","美国特拉华州","美国","美国"
"河源市众拓光电科技有限公司","广州市艾佛光通科技有限公司","广东","510000 广东省广州市黄埔区金中路23号自编一栋办公区303房","广东","51"
"华桦","江苏星晨高速电机有限公司","江苏","214500 江苏省泰州市靖江市江平路1109号(马桥镇海贝公司东邻)","江苏","21"
"北京锘崴信息科技有限公司","杭州锘崴信息科技有限公司","北京","310059 浙江省杭州市滨江区浦沿街道东信大道66号4号楼521","北京","31"
"洛卡特股份有限公司","美商沃耶特拉海龟滩有限公司","德国","美国纽约市","德国","美国"
"牛津(海南)区块链研究院有限公司","云海链控股股份有限公司; 牛津(海南)区块链研究院有限公司","海南","571924 海南省老城高新技术产业示范区海南生态软件园沃克公园8831栋","海南","57"
"陈鸿江","北京鑫创慧城科技发展有限公司","广东","101100 北京市通州区梨园镇云景东路80号东配楼274室","广东","10"
"平潭综合实验区澄心贸易有限公司","中软数智信息技术(武汉)有限公司","湖北","430000 湖北省武汉市东湖新技术开发区佛祖岭街道光谷大道303号光谷芯中心三期3-13栋1-5层1号501室","湖北","43"
"深圳万知达技术转移中心有限公司; 重庆邮电大学","恩平市美高电子科技有限公司; 深圳万知达技术转移中心有限公司","广东","529400 广东省江门市恩平市江门产业转移工业园恩平园区商贸区11-2号; 518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1003","广东","52"
"国网天津市电力公司营销服务中心; 国网天津市电力公司; 国家电网有限公司","国网天津市电力公司城西供电分公司; 国网天津市电力公司营销服务中心; 国网天津市电力公司; 国家电网有限公司","天津","300000 天津市南开区红旗路278号","天津","30"
"江苏满运软件科技有限公司","江苏满运物流信息有限公司","江苏","210012 江苏省南京市雨花台区花神大道66号万博科技园A号楼3层","江苏","21"
"上海斐讯数据通信技术有限公司; 台州市吉吉知识产权运营有限公司","台州市吉吉知识产权运营有限公司; 陕西彦强卓越电子科技有限责任公司","陕西","318000 浙江省台州市椒江区洪家街道东环大道2388号农港城A区2-3167号; 710000 陕西省西安市西咸新区沣东新城三桥新街1076号万象域T4栋922房间","陕西","31"
"苏州安源汇信软件有限公司","上海殷泊信息科技有限公司","江苏","200030 上海市徐汇区田林路140号16号楼东楼201-114室","江苏","20"
"徐海燕","林沧","广东","518000 广东省深圳市福田区龙尾路8号祥云阁202室","广东","51"
"云南电网有限责任公司; 珠海市鸿瑞信息技术股份有限公司","云南电网有限责任公司","云南","650011 云南省昆明市拓东路73号","云南","65"
"滨州学院","国电山西省电力公司晋中供电公司; 国网山西省电力公司晋中供电公司","山东","030600 山西省晋中市榆次区迎宾街85号","山东","03"
"济南大学; 江西蓝瑞存储科技有限公司","江西蓝瑞存储科技有限公司","江西","332000 江西省九江市濂溪区琴湖大道1198号新产业综合体一期11栋","江西","33"
"飞龙","内蒙古大学","内蒙古","010021 内蒙古呼和浩特市大学西路235号","内蒙","01"
"林福生","深圳前海牛魔王科技有限公司","福建","518000 广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)","福建","51"
"句容市家天下网络科技有限公司","国网冀北电力有限公司承德供电公司","河北","067000 河北省承德市双桥区新华路北10号","河北","06"
"武汉斗鱼网络科技有限公司","江西创佳工程技术有限公司; 洪特","湖北","335000 江西省鹰潭市高新技术产业开发区金桥路19号","湖北","33"
"于东升","烟台火眼防伪科技有限责任公司","山东","264000 山东省烟台市高新区蓝海软件园蓝海路1号","山东","26"
