"转让人","受让人","IPC分类号"
"广州初曲科技有限公司; 惠安县拓丰信息技术有限公司","中睿通信规划设计有限公司; 广州初曲科技有限公司","G06F1/16; G06F21/60"
"宁波摩米创新工场电子科技有限公司","宜宾正集源智能科技有限公司","G06K9/00"
"华南理工大学","广州商品清算中心股份有限公司","H04L29/08"
"国际商业机器公司","HCL技术有限公司","G06F17/30; G06F17/21; G06F40/00; G06F40/189; G06F40/191"
"深圳市康冠商用科技有限公司","深圳市康冠医疗设备有限公司","G06T3/00"
"泰州市华达机电设备有限公司","深圳市参数领航科技有限公司","G06V20/52; G06V10/56; G06V10/46; G06V10/74; G06Q10/06; G08C17/02; H04N7/20"
"天合云能源互联网技术(杭州)有限公司","常州天合智慧能源工程有限公司","G06Q10/04; G06Q50/06; G06K9/62; G06N3/00; G06N10/00; G06N20/10"
"南京中兴软件有限责任公司; 中兴通讯股份有限公司","中兴通讯股份有限公司; 南京中兴软件有限责任公司; 北京中兴高达通信技术有限公司","H04L9/08; H04W12/02; H04W12/04; H04W12/06; H04W88/02; H04W12/03; H04W12/0433"
"苏州日煊数字科技有限公司; 北京差旅天下网络科技有限责任公司","北京差旅天下网络科技有限责任公司; 北京市文化科技融资租赁股份有限公司","G06Q50/14; G06F16/9535; G06F16/9537"
"深圳市网心科技有限公司","北京链享云科技有限公司","G06Q30/02; G06Q20/06; H04L29/08"
"重庆大学; 芽米科技(广州)有限公司","芽米科技(广州)有限公司; 广东高尚医学影像诊断中心有限公司","G06K9/62; G06T7/00; G06T7/11"
"华能国际电力股份有限公司河北清洁能源分公司","华能国际电力股份有限公司河北清洁能源分公司; 尚义国朗新能源有限公司; 华能康保风能利用有限责任公司; 化德县大地泰泓风能利用有限责任公司; 康保县中能光伏发电有限公司; 华能涿鹿清洁能源有限责任公司; 华能唐山曹妃甸区清洁能源有限责任公司; 华能平山清洁能源有限责任公司; 威县主清新能源有限责任公司; 威县泽恩蔬菜种植有限公司; 易县能为新能源有限责任公司","G06F30/17; G06F30/20; F03D15/00; F03D17/00; G06F113/06; G06F119/02; G06F119/04"
"上海同瑜环保节能科技有限公司","上海瑜科环境工程有限公司","G06F30/17"
"烟台东方威思顿电气有限公司; 烟台东方威思顿电力设备有限公司","烟台东方威思顿电气有限公司; 烟台东方威思顿电力设备有限公司; 国网冀北电力有限公司计量中心","G06F30/18; G06F30/27; G06N3/126; G06Q50/06; G06F111/06; G06F113/04"
"中南大学","湖南新云网科技有限公司","G06F9/455; H04L29/06; H04L29/08"
"刘成学","沈阳恩派工程技术咨询有限公司","G06F17/50; G06F3/0482"
"石家庄通合电子科技股份有限公司","河北通合新能源科技有限公司","H04L12/40"
"合肥智慧龙机械设计有限公司; 杭州电子科技大学","滨州国创能源科技有限公司; 合肥智慧龙机械设计有限公司","G06Q10/00; F24F11/64; F24F11/46; F24F110/10; F24F110/20; F24F120/20"
"北京华纬迅科技有限公司; 南京格高网络科技有限公司","王生安; 北京华盛普讯技术股份有限公司","H04L12/66; H04L29/02"
"曙光信息产业股份有限公司; 曙光信息产业(北京)有限公司","曙光节能技术(北京)股份有限公司; 曙光信息产业股份有限公司","G06F1/20"
"上海大学","上海大学; 上海吉柴电子信息技术有限公司","B25J9/16"
"剑扬股份有限公司; 思立微电子(香港)有限公司","思立微电子(香港)有限公司; 芯技佳易微电子(香港)科技有限公司","G06F3/041"
"南京师范大学; 南京三万物联网科技有限公司","南京三万物联网科技有限公司; 江苏正海智能装备有限公司","A63B47/02; G05D1/02"
"杭州电子科技大学","浙江大学医学院附属邵逸夫医院","G06V10/82; G06T7/00; G06N3/042; G06N3/0464; G06N3/045; G06N3/048"
"立德高科(北京)数码科技有限责任公司; 陕西专壹知识产权运营有限公司","陕西专壹知识产权运营有限公司; 苏州德斯米尔智能科技有限公司","G06K7/10; G06F17/30; G06Q30/00"
"成都斯菲科思信息技术有限公司","深圳市欣东林电子有限公司","G06F1/28"
"立德高科(北京)数码科技有限责任公司; 武汉投知家信息科技有限公司","武汉投知家信息科技有限公司; 湛江卷烟包装材料印刷有限公司","G06T7/00; B41J3/44"
"上海岱诺信息技术有限公司; 李明东","广州岱诺智能系统有限公司; 李明东","G06F1/16; G06F1/18"
"湖州度信科技有限公司; 江南大学","湖南琴海数码股份有限公司; 湖州度信科技有限公司","G06F17/30"
"秦艳","罗普特(厦门)科技集团有限公司","G06T7/136"
"王志勇; 郝琳","武汉吉龙置业发展有限公司; 王志勇","H04L12/28; G08C17/02; H04W4/38; A47B83/02; H04W84/18"
"国网四川省电力公司经济技术研究院; 北京中电普华信息技术有限公司; 国网信息通信产业集团有限公司; 国家电网有限公司","北京国电通网络技术有限公司; 国家电网有限公司; 国网信息通信产业集团有限公司; 国网四川省电力公司经济技术研究院","G06Q10/06; G06Q10/10; G06Q50/06"
"潍坊信至科技发展有限公司","北京国联视讯信息技术股份有限公司","G06Q40/04; G06Q40/06; G06Q10/04; G06F16/27; G06F21/64; G06N3/04; G06N3/08"
"台州市吉吉知识产权运营有限公司; 上海斐讯数据通信技术有限公司","深圳国芯人工智能有限公司; 台州市吉吉知识产权运营有限公司","G06F11/26; G06F11/36"
"深圳数字电视国家工程实验室股份有限公司","深圳市视美泰技术股份有限公司","H04L9/08"
"重庆钧爱博科技有限公司","梁钧","G06Q20/32; G06Q20/20"
"麦克奥迪实业集团有限公司","麦克奥迪(厦门)医疗诊断系统有限公司","H04L29/08; G06F3/14"
"深圳信息职业技术学院; 龙图腾网科技(合肥)股份有限公司","龙图腾网科技(合肥)股份有限公司; 合肥净龙环保科技有限公司","G06T7/00; G06T7/215; G06T7/246; G06T7/62; G06T7/70"
"南京睿蜂健康医疗科技有限公司; 高军峰; 中南民族大学","武汉芯奇智健康科技有限公司; 中南民族大学; 南京睿蜂健康医疗科技有限公司","A61B5/0205; A61B5/11; A61B5/00; A61B5/145"
"中南大学","湖南铂辉特科技有限公司","G06T5/00"
"重庆誉存大数据科技有限公司","重庆誉存大数据科技有限公司; 罗灿","G06F16/9535; G06Q30/06; G06Q50/14; G06K9/62"
"株式会社PtoPA","环球娱乐株式会社","G06F17/28; G06F17/27"
"刘必鹏","创业保姆(广州)商务秘书有限公司","G06F3/041; G07F17/12"
"武汉大学; 常熟南师大发展研究院有限公司; 常熟紫金知识产权服务有限公司","常熟紫金知识产权服务有限公司; 常熟南师大发展研究院有限公司","G06T11/20"
"西南石油大学; 浙江浙能天然气运行有限公司","西南石油大学; 国家管网集团浙江省天然气管网有限公司","G06F17/11; G06N3/12; F17D1/02; F17D3/01"
"株式会社日立制作所; 日立民用电子株式会社","日立民用电子株式会社; LG电子株式会社","H04L25/02; G06F3/00; G06F12/00; G06F13/16; G06F13/40; G11C11/401; H03K19/0175; H04B3/02; H05K1/02; H05K1/14"
"迈克菲有限公司","马萨罗布拉美国有限责任公司","H04L29/06; H04L12/58; H04L12/66"
"肇庆小鹏新能源投资有限公司广州分公司","肇庆小鹏新能源投资有限公司广州分公司; 广州小鹏汽车科技有限公司","H04L41/0654; B60L58/10; B60L58/12; B60L58/16; H04L41/0677; H04L43/0823; H04L43/0811; H04Q9/00"
"广州知弘科技有限公司; 江苏前来信息科技有限公司","江苏前来信息科技有限公司; 京来信息技术(苏州)有限公司","G06F21/75; G06F16/2458"
"国网宁夏电力有限公司电力科学研究院; 中国电力科学研究院有限公司; 国网福建省电力有限公司; 国网福建省电力有限公司电力科学研究院","国网宁夏电力有限公司电力科学研究院; 中国电力科学研究院有限公司; 国网福建省电力有限公司; 国网福建省电力有限公司电力科学研究院; 宁夏电力能源科技有限公司","G06F30/20; G06Q10/0631; G06Q50/06"
"深圳市骏通电子科技有限公司","深圳市深科触控技术有限公司","G06F3/041; F16F15/067"
"上海九紫璃火智能科技有限公司","上海华浩原益生物科技有限公司","G06V10/82; G06N3/0464; G06V10/52; G06V10/80"
"杭州电子科技大学","浙江诺益科技有限公司","G06F17/10; G01S13/89"
"深圳市金蝶精斗云网络科技有限公司","深圳金蝶奇思科技有限公司","G06F9/445; G06F21/12; G06F21/10"
"圣戈班晶体及检测公司; 卢米洛格股份有限公司","艾维工程股份有限公司; 圣戈班晶体及检测公司","H01L21/20; C30B29/40; C30B25/02"
"赵家乐","江西师范大学","G06F16/22; G06F16/23; G06F16/245; G06F21/62"
"北京倍胜智能科技有限公司","北京倍胜智能科技有限公司; 北京云星宇交通科技股份有限公司","G06K17/00; A61L2/18; A61L101/34"
"英业达股份有限公司","安庆海诚电子科技有限公司","G06F11/267"
"深圳恩维传媒有限公司","深圳恩维迪恩倜科技有限公司","G06F16/432; G06F16/438; G06F16/583; G06F16/587"
"广州立白企业集团有限公司","广州超威生物科技有限公司","B01J20/22; B01J20/30; B01D53/02"
"首都师范大学","广州市浙创网络科技有限公司","H04L12/803; H04L12/733; H04L29/08; H04L45/122"
"中兴通讯股份有限公司; 深圳市中兴通讯股份有限公司上海第二研究所","国网北京市电力公司; 北京华商电力科技中心中国技术交易所有限公司; 深圳市中兴通讯股份有限公司","H04L29/06"
"费雷罗神奇制造集团(费雷罗MPG)公司","神奇制造集团(M.P.G)公司","G06F17/60; G07F7/10; G06F21/00; G06Q30/00"
"上海壹账通金融科技有限公司","深圳壹账通智能科技有限公司","G06F9/451"
"上海交通大学","上海交通大学; 上海航天电子通讯设备研究所","G06F17/50; G06T17/00"
"王美金","广州彩邦印刷有限公司","G06K19/02; G06K19/077"
"中山大学","广州新节奏智能科技股份有限公司","G06K9/00; G06K9/48"
"北京百度网讯科技有限公司","上海游境网络科技有限公司","G06N3/094; G06N3/0475; G06N3/0455; G06N3/0464; G06T11/00; G06T5/50; G06T5/60; G06T3/04; G06T3/4046; G06T3/4053; G06V10/44; G06V10/764; G06V10/82"
"安徽天诺机电科技有限公司; 哈尔滨工业大学; 成都卫瀚科技合伙企业(有限合伙)","成都卫瀚科技合伙企业(有限合伙); 安徽天诺机电科技有限公司; 哈尔滨新智达自动化成套装备有限公司","G06T3/40"
"青岛海信智能商用系统股份有限公司","北海石基信息技术有限公司","G06F21/02; G06F21/60; G06F21/76"
"贵阳朗玛信息技术股份有限公司","贵阳语玩科技有限公司","G06T1/00; G06F9/451"
"北京铂阳顶荣光伏科技有限公司; 北京合晟通科技有限公司","北京合晟通科技有限公司; 东君新能源有限公司","G06Q10/04; G06Q50/06"
"曲阜师范大学","江苏中工智联科技有限公司","H04L29/08; H04L9/32"
"北京中科瑞通信息科技有限公司","中科智禾数字科技(北京)有限公司","G06F16/36; G06F16/33; G06F40/295"
"北京科技大学","北京科技大学; 宁夏回族自治区遥感调查院(高分辨率对地观测系统宁夏数据与应用中心)","G06K9/00; G06K9/40; G06K9/46; G06K9/62"
"南方报业传媒集团","广东南方报业传媒集团新媒体有限公司","G06F17/30; G06K9/66"
"西安联客信息技术有限公司","深圳数拓科技有限公司","G06F3/0488; G06F3/041; H04N5/232"
"广东开心信息技术有限公司","广东因豪信息科技有限公司","G06K9/66; G06T7/00"
"中国科学院力学研究所","广东空天科技研究院","G06F17/11; G06F17/15"
"马少才","东方财富证券股份有限公司","G06F16/2458; G06F16/26"
"中科海慧(北京)科技有限公司","天勰力(山东)卫星技术有限公司","G08B17/00; G08B21/10; G08B21/18; G08B29/18; H04W4/38"
"宜宾市万事通网络信息服务有限公司","广西电网有限责任公司","G06F16/2458; G06N3/044; G06N3/096"
"万军","北京车灵通科技发展有限公司","G06F17/30; H04L12/58"
"贝壳找房(北京)科技有限公司","如你所视(北京)科技有限公司","G06T19/00; H04L67/131; H04L67/60; H04M1/72403"
"诺基亚公司; 2011知识产权资产信托公司","诺基亚2011专利信托公司; 西斯威尔国际有限公司","H04L1/00; H04L1/16; H04L1/18"
"安徽省农业科学院农业经济与信息研究所","合肥拓宇云科智能科技有限公司","G06T7/00; G06V10/762; G06V10/82; G06N3/0464; G06N3/048; G06N3/08; G06T5/50"
"杭州聪曦科技有限公司","台州方舟科技咨询有限公司","G06F1/18"
"千兆科技(深圳)有限公司","深圳市迅雷看看信息技术有限公司","H04L12/18; G06Q30/00; G06Q30/02"
"上海浪潮云计算服务有限公司; 浪潮(北京)电子信息产业有限公司","保定浪潮云计算有限公司; 上海浪潮云计算服务有限公司","H04L12/26; H04L12/801"
"北京感瞰科技有限公司","芯梯众和科技有限公司","H04L65/1069; H04L65/40; H04L65/1104; H04L65/65; H04L67/02; H04N7/18; H04N21/643; H04N21/6437"
"西南交通大学; 四川八维九章科技有限公司","四川八维九章科技有限公司","G06V20/52; G06V40/10; G06V10/44; G06V10/764; G06V10/82; G06N3/0464; G06N3/08; G06N5/02; G06N5/04"
