"转让人","受让人","IPC分类号"
"皇家菲利浦电子有限公司","皇家菲利浦电子有限公司法国电讯公司及法国有线通讯股份有限公司无线电广播技术研究","H04L25/49; H04B1/66; G11B20/14; G01L7/04; G10L19/00; G10L19/02; G10L19/14; G11B20/00; G11B20/10; G11B20/12; G11B20/18; G11B27/30; H03M5/14; H04B14/04; H04H20/28; H04H20/30; H04H20/31; H04H20/47; H04H20/88; H04H20/89; H04H20/95; H04H40/18; H04H40/36; H04H60/07; H04H60/13; H04H60/18; H04J3/16; H04L7/00; H04N7/08"
"皇家菲利浦电子有限公司; 无线电广播技术研究所有限公司CCETT公司","皇家菲利浦电子有限公司; 法国电讯公司及法国有线通讯股份有限公司无线电广播技术研究所有限公司","H04L25/49; H04B1/66; G11B20/14; G01L7/04; G10L19/00; G10L19/02; G10L19/14; G11B20/00; G11B20/10; G11B20/12; G11B20/18; G11B27/30; H03M5/14; H04B14/04; H04H20/28; H04H20/30; H04H20/31; H04H20/47; H04H20/88; H04H20/89; H04H20/95; H04H40/18; H04H40/36; H04H60/07; H04H60/13; H04H60/18; H04J3/16; H04L7/00; H04N7/08"
"中国大恒公司","大恒新纪元科技股份有限公司","G06K9/00"
"韦里丰公司","惠普公司","G06F17/60; G06Q20/34; G06Q20/36; G07F7/08"
"索尼公司","索尼电脑娱乐公司","G06F17/00; G10H7/02; G06F13/16; G10H7/00; G10L13/04"
"徐秀莹","曼特亚克公司","G06F12/00"
"汤姆森消费电子有限公司","开放电视公司","G06F3/14; G06T11/80; G06T1/00; G09G5/14"
"华建机器翻译有限公司; 深圳科智语言信息处理有限公司北京分公司; 华建电子有限责任公司","北京华建长河科技有限公司; 华建电子有限责任公司; 华建机器翻译有限公司","G09B19/06"
"索尼株式会社","索尼计算机娱乐公司","G06F19/00; G10H1/00; G10K15/02; G11B20/00; G11B20/10; G11B20/12; G11B27/034; H04N5/765; H04N5/85; H04N9/804; H04N9/806"
"西门子公司","费罗马托姆ANP有限责任公司","G06F9/46; G06F15/16; G06F9/48; G06F9/50"
"索尼公司","索尼计算机娱乐公司","G06F13/00; G06F161/00; G06F19/00; A63F13/98; A63F9/00; A63F13/843; A63F13/95; G06F3/00; G06F3/033; G06F3/08; G06F13/40; G06K7/00; G06K17/00"
"惠普公司","惠普公司安捷伦科技有限公司","G06K9/22; G06K9/20; G06T1/00; G06T3/00; H04N1/047; H04N1/107; H04N1/193"
"特尔科迪亚技术股份有限公司; 研究投资网络有限公司; 志奥获斯股份有限公司","志奥获斯股份有限公司; 乐天株式会社; 研究投资网络有限公司","H04L9/00; H04L29/06; G06F13/00; G06F12/00; G06F13/42; G09C1/00; H04L12/66; H04L29/08; H04L29/10"
"西屋电气公司","西屋电气有限责任公司","G06F17/30; G21D3/00; G21C17/00"
"美国电报电话IPM公司","美国电报电话公司","H04L12/18; H04N7/15; H04L12/56; H04L29/06; H04M3/56; H04Q11/04"
"西格德·西格比约恩森","索斯皮塔有限公司","G06F1/00; H04L9/00; G06F12/14; G06F21/12; G06F21/77; G09C1/00; G09C5/00"
"北京天融信技贸有限责任公司","北京天融信网络安全技术有限公司","H04L29/06; H04L29/08; H04L29/02"
"美国三星资讯系统公司","三星电子株式会社","H04L12/28; H04N21/426; H04N21/43; H04N21/436; H04N21/4363"
"欣弘科技股份有限公司","崴强科技股份有限公司","G06K9/20"
"王永民","北京金冠王码科技有限公司","G06F3/023"
"西门子尼克斯多夫资讯系统公开股份有限公司","富士通西门子电脑股份有限公司","G06F1/26; G05F1/10; G05F1/575; G05F1/59; H02J1/10"
"邱宏哲","三竹资讯股份有限公司","G06F19/00; H04N1/00"
"三星电子株式会社三星信息系统美国公司","三星电子株式会社","G06F13/38; H04L12/18; G06F3/14; G06F3/048; G06F9/30; G06F13/00; G06F17/00; H04L12/16; H04L12/24; H04L12/28; H04L12/46; H04L29/00; H04L29/02; H04L29/06; H04L29/08; H04L29/10; H04L29/12; H04N5/00; H04N5/445; H04N5/765; H04N5/775; H04N7/10; H04N7/16; H04N7/24; H04N21/41; H04N21/422; H04N21/436; H04N21/438; H04N21/442; H04N21/443; H04N21/45; H04N21/454; H04N21/462; H04N21/475; H04N21/4782; H04N21/482; H04N21/485; H04N21/643; H04Q9/00; H04Q9/02"
"北京市赛得康通信技术有限公司; 北京市以泰智和计算机网络技术有限公司","北京市以泰智和计算机网络技术有限公司; 王小芹","H04L12/28"
"松下电器产业株式会社松下电子工业株式会社","松下电器产业株式会社","G06K19/07; B42D15/10; G06K19/077; H01F5/00; H01F27/40; H01F41/04; H01L21/48; H05K1/09; H05K3/22; H05K3/32; H05K3/46; B42D25/305; B42D25/45"
