主体ID,degree,in_degree,out_degree,betweenness,eigenvector,k_core
(株)德洪,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
洪仑廷,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
(株)韩国一诺仪器株式会社,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
一诺仪器(中国)有限公司; (株)韩国一诺仪器株式会社,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
02米克罗公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
英属开曼群岛凹凸微系国际有限公司,4.3320799182103306e-05,4.3320799182103306e-05,0.0,0.0,0.0001582029317504507,1
11街股份有限公司; SK普兰尼特有限公司,1.7328319672841323e-05,8.664159836420662e-06,8.664159836420662e-06,0.0,2.407435917941641e-05,1
延吉十一番街商务有限公司; 11街股份有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,7.566227170673729e-05,1
12 股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
12香港有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
12CM株式会社,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
北京十二公分科技有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
12西格玛控股有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
图兮深维医疗科技(苏州)有限公司,1.7328319672841323e-05,8.664159836420662e-06,8.664159836420662e-06,0.0,2.407435917941641e-05,1
1877511安大略公司; 多伦多证券交易所,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
FTSETMX环球债券资本市场有限公司; 1877511安大略公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
1QB信息技术公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
善好化学公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
2011知识产权资产信托公司; 核心无线许可有限公司; 诺基亚公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,1
核心无线许可有限公司; 微软技术许可有限责任公司; 诺基亚2011专利信托公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
核心无线许可有限公司; 诺基亚2011专利信托公司; 微软技术许可有限责任公司,3.4656639345682646e-05,3.4656639345682646e-05,0.0,0.0,8.597985421220149e-05,1
2011知识产权资产信托公司; 核心无线许可有限公司; 诺基亚有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2011知识产权资产信托公司; 诺基亚公司,2.5992479509261986e-05,0.0,2.5992479509261986e-05,0.0,3.4391941684880583e-06,2
核心无线许可有限公司; 诺基亚2011专利信托公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,4.4709524190344765e-05,2
西斯威尔国际有限公司; 诺基亚2011专利信托公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,4.4709524190344765e-05,2
诺基亚2011专利信托公司; 西斯威尔国际有限公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,4.4709524190344765e-05,1
2011知识产权资产信托公司; 诺基亚公司; 核心无线许可有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2011知识产权资产信托公司; 诺基亚有限公司,1.7328319672841323e-05,0.0,1.7328319672841323e-05,0.0,3.4391941684880583e-06,2
2011知识产权资产信托公司; 诺基亚有限公司; 核心无线许可有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2012244安大略公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
捷讯研究有限公司,6.931327869136529e-05,6.064911885494463e-05,8.664159836420662e-06,0.0,0.0002510611742996282,2
2012244安大略公司; 黑莓有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
捷讯研究有限公司; 马利基创新有限公司,4.3320799182103306e-05,4.3320799182103306e-05,0.0,0.0,0.00010661501922312985,1
2236008安大略有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
黑莓有限公司,0.00012996239754630993,7.797743852778596e-05,5.198495901852397e-05,0.0,0.005905096387293999,3
2236008安大略有限公司; 8758271加拿大有限公司; QNX软件系统有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
黑莓有限公司; 2236008安大略有限公司; 8758271加拿大有限公司,2.5992479509261986e-05,2.5992479509261986e-05,0.0,0.0,6.534468920127312e-05,1
2236008安大略有限公司; QNX软件操作系统德国有限公司; 7801769加拿大公司; 黑莓有限公司; QNX软件系统有限公司; 8758271加拿大有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
黑莓有限公司; 7801769加拿大公司; QNX软件系统有限公司; 马利基创新有限公司; 8758271加拿大有限公司; 2236008安大略有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
2236008安大略有限公司; 黑莓有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2256355安大略有限公司; OT专利托管有限责任公司; 北方电讯网络有限公司; 岩星比德科有限公司; 黑莓有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
捷讯研究有限公司; 马利基创新有限公司; 岩星比德科有限公司; 2256355安大略有限公司; OT专利托管有限责任公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
2256355安大略有限公司; 北方电讯网络有限公司; 岩星比德科有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
捷讯研究有限公司; 岩星比德科有限公司; 2256355安大略有限公司,1.7328319672841323e-05,1.7328319672841323e-05,0.0,0.0,4.4709524190344765e-05,1
2256355安大略有限公司; 北电网络有限公司; 岩星比德科有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2256355安大略有限公司; 岩星比德科有限公司; 北方电讯网络有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
捷讯研究有限公司; 2256355安大略有限公司; 岩星比德科有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
248固态硬碟有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
晶先锋科技有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
