node,degree,pagerank,assigner_count,assignee_count,total_activity
英特尔公司,10,0.0018868579394647085,8,2,10
现代自动车株式会社; 起亚株式会社,2,0.0010266865509300776,0,2,2
苏州格目软件技术有限公司,2,0.0007613999993623027,2,0,2
深圳供电局有限公司,1,0.0010850909959146061,0,1,1
克拉斯特有限责任公司; 艾利森电话股份有限公司,1,0.0007613999993623027,1,0,1
奥普蒂斯无线技术有限责任公司; 克拉斯特有限责任公司,2,0.0020561639855715165,0,2,2
华为技术有限公司,23,0.011435554404798261,10,13,23
OPPO广东移动通信有限公司,6,0.004231499023474698,1,5,6
重庆邮电大学; 龙图腾网科技(合肥)股份有限公司,1,0.0007613999993623027,1,0,1
龙图腾网科技(合肥)股份有限公司; 合肥九州龙腾科技成果转化有限公司,2,0.0020561639855715165,0,2,2
中国计量大学,3,0.0007613999993623027,3,0,3
合肥名龙电子科技有限公司,26,0.011204042056429716,0,26,26
杭州翼兔网络科技有限公司,1,0.0007613999993623027,1,0,1
山东汇佳软件科技股份有限公司,2,0.0020561639855715165,0,2,2
三峡大学,2,0.0007613999993623027,2,0,2
深圳万知达技术转移中心有限公司,5,0.0019675343079441,0,5,5
深圳泓越信息科技有限公司,7,0.0021563540559329437,0,7,7
温州大学,3,0.0010850909959146061,2,1,3
广州大学,2,0.0018700904948766414,0,2,2
无锡科技职业学院,1,0.0007613999993623027,1,0,1
龙图腾网科技(合肥)股份有限公司,25,0.009304935451928014,0,25,25
泰州三凯工程技术有限公司,1,0.0007613999993623027,1,0,1
六安同辉智能科技有限公司,2,0.0015706274907430614,0,2,2
苏州天趣信息科技有限公司,2,0.0007613999993623027,2,0,2
深圳前海大数金融服务有限公司,3,0.0015395351523692497,0,3,3
四川企易标信息科技有限公司,1,0.0007613999993623027,1,0,1
北京网安捷通科技发展有限公司,1,0.0014087819924669094,0,1,1
盛趣信息技术(上海)有限公司,2,0.0021308488937525853,1,1,2
盛乐信息技术(上海)有限公司,4,0.0032207693839219663,2,2,4
微软公司,1,0.0007613999993623027,1,0,1
微软技术许可有限责任公司,3,0.002240687386535409,0,3,3
河南大学,4,0.0010850909959146061,3,1,4
阿尔卡特朗讯公司,4,0.0007613999993623027,4,0,4
高通股份有限公司,5,0.0019445536186781557,0,5,5
华中师范大学,1,0.0007613999993623027,1,0,1
努比亚技术有限公司,9,0.0007613999993623027,9,0,9
中食安泓(广东)健康产业有限公司,1,0.0008333313319294813,0,1,1
华北理工大学,1,0.0007613999993623027,1,0,1
天津城建大学,1,0.0014087819924669094,0,1,1
国际商业机器公司,10,0.0007613999993623027,10,0,10
谷歌公司,4,0.0017972111883296736,1,3,4
松下知识产权经营株式会社,1,0.0007613999993623027,1,0,1
松下电器(美国)知识产权公司,4,0.001732472989019213,2,2,4
三星电子株式会社,9,0.0021650975534510766,4,5,9
诺基亚技术有限公司,6,0.002138768216609538,1,5,6
北京京东尚科信息技术有限公司,1,0.0017338461741453137,0,1,1
樊馨,1,0.0007613999993623027,1,0,1
江苏永鼎通信有限公司,3,0.0021640609844222843,0,3,3
湖南科技大学,1,0.0007613999993623027,1,0,1
佛山科学技术学院,2,0.0020561639855715165,0,2,2
重庆交通大学,3,0.0007613999993623027,3,0,3
西南交通大学,7,0.0009771939970638385,6,1,7
重庆邮电大学,14,0.0007613999993623027,14,0,14
山东高速信联科技股份有限公司,1,0.0008076415702983461,0,1,1
中国科学院计算技术研究所,3,0.0007613999993623027,3,0,3
北京中科睿芯科技集团有限公司,1,0.0009771939970638385,0,1,1
杭州电子科技大学,8,0.0007613999993623027,8,0,8
捷开通讯(深圳)有限公司,4,0.0007613999993623027,4,0,4
